"sergile"->"başyapıt":1,"vasat":46 bin,result:-4.326929537043505
"halk"->"başyapıt":778,"vasat":7 bin,result:-0.6182901483864988
"birliktelik"->"başyapıt":318,"vasat":156,result:0.6451308162680403
"hissî"->"başyapıt":383,"vasat":2 bin,result:-0.38200292705728933
"aydın"->"başyapıt":598,"vasat":4 bin,result:-0.48953051270148246
"süngü"->"başyapıt":1,"vasat":10 bin,result:-3.6641717053619307
"rakım"->"başyapıt":10,"vasat":bin,result:-1.664171705361931
"saka"->"başyapıt":479,"vasat":608,result:0.23226022877989738
"idol"->"başyapıt":460,"vasat":277,result:0.5561063572551946
"taviz"->"başyapıt":252,"vasat":187,result:0.4653872288831143
"herkes"->"başyapıt":7 bin,"vasat":15 bin,result:0.0048350755966447756
"bellek"->"başyapıt":164,"vasat":329,result:0.033476244735792755
"tel"->"başyapıt":164,"vasat":3 bin,result:-0.9264491120338954
"taç"->"başyapıt":13 bin,"vasat":334,result:1.9260251801333415
"tek"->"başyapıt":17 bin,"vasat":35 bin,result:0.022209171666067437
"ten"->"başyapıt":20 bin,"vasat":7 bin,result:0.7917602502877935
"hala"->"başyapıt":13 bin,"vasat":18 bin,result:0.19449914184159983
"dumur"->"başyapıt":2 bin,"vasat":279,result:1.1912540870284527
"tep"->"başyapıt":1,"vasat":23,result:-1.0258995413795238
"yetiş"->"başyapıt":26,"vasat":2 bin,result:-1.5502283530550942
"garip"->"başyapıt":152,"vasat":4 bin,result:-1.0843881087451208
"ter"->"başyapıt":106,"vasat":bin,result:-0.6388658400971606
"stabil"->"başyapıt":23,"vasat":bin,result:-1.3024438693443379
"tez"->"başyapıt":928,"vasat":3 bin,result:-0.1737449838627312
"üre"->"başyapıt":1,"vasat":17,result:-0.8946206267402047
"medeni"->"başyapıt":16 bin,"vasat":199,result:2.2410952008842875
"cehalet"->"başyapıt":28,"vasat":bin,result:-1.2170136740197117
"törpüle"->"başyapıt":1,"vasat":1,result:0
"ürk"->"başyapıt":2,"vasat":4,result:0.03479829897408794
